Country,Continent,Members,Percent LDS,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches,FHC
Antigua and Barbuda,North America,276,0.28,0,0,0,0,0,1,1,1
Aruba,North America,590,0.55,0,0,0,0,0,2,2,2
Bahamas,North America,1074,0.28,0,0,0,0,0,3,3,1
Barbados,North America,1134,0.39,0,1,1,0,0,3,3,1
Belize,North America,5519,1.39,0,0,0,0,0,12,12,2
Canada,North America,199534,0.53,9,6,4,53,352,147,499,152
Cayman Islands,North America,224,0.34,0,0,0,0,0,1,1,0
Costa Rica,North America,52047,1.02,1,2,1,10,59,19,78,18
Curacao,North America,575,0.37,0,0,0,0,0,1,1,1
Dominica,North America,145,0.2,0,0,0,0,0,1,1,0
Dominican Republic,North America,145397,1.34,1,3,9,21,139,62,201,33
El Salvador,North America,129194,1.99,1,3,0,22,129,29,158,38
Grenada,North America,396,0.35,0,0,0,0,0,1,1,0
Guadeloupe,North America,548,,0,0,0,0,0,3,3,1
Guatemala,North America,284780,1.69,2,7,12,51,297,139,436,84
Haiti,North America,24911,0.22,1,1,4,5,27,21,48,11
Honduras,North America,183405,1.85,1,4,5,31,179,57,236,62
Jamaica,North America,6718,0.23,0,1,1,1,6,12,18,7
Martinique,North America,261,,0,0,0,0,0,1,1,1
Mexico,North America,1498296,1.16,13,32,47,222,1355,494,1849,284
Nicaragua,North America,101133,1.53,0,2,4,12,71,38,109,23
Panama,North America,60108,1.39,1,1,4,7,44,29,73,18
Puerto Rico,North America,23473,0.73,0,1,1,5,27,11,38,8
Saint Kitts and Nevis,North America,230,0.44,0,0,0,0,0,1,1,1
Saint Lucia,North America,394,0.21,0,0,0,0,0,2,2,2
Saint Vincent,North America,715,0.64,0,0,0,0,0,3,3,1
Sint Maarten,North America,286,0.7,0,0,0,0,0,1,1,0
Trinidad and Tobago,North America,3505,0.25,0,1,0,1,5,4,9,1
United States,North America,6721032,2.05,81,108,5,1642,12677,1782,14459,0
Argentina,South America,470843,1.05,2,13,27,78,484,250,734,123
Bolivia,South America,217331,1.86,1,5,8,33,208,63,271,53
Brazil,South America,1456238,0.69,7,36,40,281,1774,402,2176,445
Chile,South America,602373,3.18,2,10,16,74,410,158,568,100
Colombia,South America,209985,0.42,2,5,10,30,176,73,249,51
Ecuador,South America,258314,1.46,1,6,5,42,262,53,315,57
French Guiana,South America,488,,0,0,0,0,0,1,1,1
Guyana,South America,6417,0.82,0,0,0,0,0,11,11,4
Paraguay,South America,97389,1.37,1,2,9,11,61,72,133,20
Peru,South America,624569,1.89,3,14,17,112,667,113,780,167
Suriname,South America,1759,0.3,0,0,0,0,0,5,5,3
Uruguay,South America,106855,3.08,1,2,2,18,97,32,129,23
Venezuela,South America,173125,0.61,1,4,5,34,180,53,233,48
Albania,Europe,3280,0.12,0,1,1,1,6,8,14,4
Armenia,Europe,3537,0.12,0,1,0,0,0,5,5,4
Austria,Europe,4662,0.052273915316257184,0,0,0,2,14,3,17,12
Belgium,Europe,6499,0.056211354693648116,0,0,0,2,10,2,12,7
Bosnia and Herzegovina,Europe,67,0.0020421499754942002,0,0,0,0,0,2,2,0
Bulgaria,Europe,2395,0.03453038674033149,0,1,0,0,0,7,7,4
Croatia,Europe,637,0.015738117721120555,0,1,1,0,0,6,6,3
Cyprus,Europe,534,0.044228217602830605,0,0,0,0,0,4,4,3
Czech Republic,Europe,2628,0.02455795677799607,0,1,0,1,7,5,12,2
Denmark,Europe,4417,0.0757002271006813,1,1,0,2,13,9,22,13
Estonia,Europe,1146,0.08635578583765112,0,0,0,0,0,4,4,2
Finland,Europe,4885,0.08841732979664013,1,1,2,2,15,16,31,28
France,Europe,38200,0.05665722379603399,1,2,0,10,68,40,108,73
Georgia,Europe,258,0.00694637399277577,0,0,0,0,0,2,2,1
Germany,Europe,39456,0.047393364928909956,2,3,0,14,94,55,149,97
Greece,Europe,792,0.007390983000739098,0,0,0,0,0,2,2,1
Guernsey,Europe,57,,0,0,0,0,0,1,1,1
Hungary,Europe,5231,0.05353319057815846,0,1,2,1,5,17,22,13
Iceland,Europe,331,0.09025270758122744,0,0,0,0,0,3,3,1
Ireland,Europe,3985,0.08058017727639001,0,0,0,1,5,8,13,3
Isle of Man,Europe,288,0.34,0,0,0,0,1,0,1,0
Italy,Europe,27702,0.046511627906976744,1,2,0,10,63,31,94,56
Jersey,Europe,290,,0,0,0,0,1,0,1,1
Latvia,Europe,1257,0.06609385327164573,0,1,1,0,0,5,5,3
Lithuania,Europe,919,0.03287310979618672,0,0,0,0,0,5,5,4
Luxembourg,Europe,523,0.0827129859387924,0,0,0,0,1,1,2,1
Malta,Europe,223,0.042444821731748725,0,0,0,0,0,1,1,1
Moldova,Europe,448,0.017094017094017096,0,0,0,0,0,2,2,1
Montenegro,Europe,30,0.004828352083433924,0,0,0,0,0,1,1,1
Netherlands,Europe,9365,0.05367686527106817,1,1,0,3,20,4,24,9
Norway,Europe,4564,0.08532423208191127,0,1,0,2,11,9,20,15
Poland,Europe,2089,0.005504486156217317,0,1,1,0,0,11,11,6
Portugal,Europe,45576,0.44,1,1,4,6,32,35,67,24
Romania,Europe,3087,0.016005121638924456,0,0,0,0,0,15,15,3
Serbia,Europe,361,0.005225479437738412,0,0,0,0,0,3,3,2
Slovakia,Europe,309,,0,0,0,0,0,4,4,0
Slovenia,Europe,449,0.021376656690893545,0,0,0,0,0,2,2,1
Spain,Europe,61455,0.13,1,2,1,15,95,42,137,56
Sweden,Europe,9649,0.09380863039399624,1,1,1,4,25,15,40,37
Switzerland,Europe,9160,0.11,1,0,0,5,27,8,35,13
Turkey,Europe,573,0.0006793985963624999,0,0,0,0,0,9,9,0
