Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1995,200,0,6,6,3223000,0,1,0,0
1997,500,0,4,4,3135000,0,1,0,0
1999,656,0,5,5,3091000,0,1,1,0
2000,792,0,7,7,3076000,0,1,1,0
2001,850,0,8,8,3066000,0,1,1,0
2002,1265,0,8,8,3047000,0,1,1,0
2003,1537,0,10,10,3036000,0,1,1,0
2004,1795,0,10,10,3026000,0,1,1,0
2005,2083,0,11,11,3015000,0,1,1,0
2006,2359,0,15,15,3003000,0,1,1,0
2007,2650,0,14,14,2990000,0,1,1,0
2008,2748,0,15,15,2977000,0,2,1,0
2009,2833,0,15,15,2968000,0,2,1,0
2010,2888,0,15,15,2963000,0,2,1,0
2011,2965,0,11,11,2964000,0,1,1,0
2012,3024,0,11,11,2969000,0,1,1,0
2013,3159,5,5,10,2977000,1,0,1,0
2014,3344,6,5,11,2984000,1,0,1,0
2015,3525,6,5,11,3056382,1,0,1,0
2016,3612,0,11,11,3051250,0,1,1,0
2017,3570,0,11,11,3045191,0,1,1,0
2018,3560,0,11,11,3038217,0,2,1,0
2019,3579,0,11,11,3029771,0,2,1,0
2020,,0,11,11,,,,,
2021,,0,5,5,,,,,
