Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1948,4,,,,2641000,,,,
1950,62,,,,2968976,,,,
1952,103,,,,3165769,,,,
1960,1807,,,,4253000,,,,
1965,8156,,,,4763000,,,,
1967,11171,,,,5026000,,,,
1969,12252,,,,5303000,,,,
1970,14361,,,,5448000,,,,
1973,13777,,,,5910000,,,,
1975,13459,,,,6228000,,,,
1977,17173,,,,6544000,,,,
1979,17973,,,,6867000,,,,
1981,22234,,,,7212000,,,,
1983,30177,,,,7579000,,,,
1985,43500,,,,7955000,,,,
1987,63000,86,129,215,8333000,13,12,2,1
1989,99000,112,176,288,8721000,18,10,3,1
1991,129000,132,199,331,9131000,21,15,3,1
1993,140000,151,187,338,9565000,24,18,4,1
1995,148000,171,218,389,10016000,30,30,4,1
1997,164000,198,211,409,10482000,33,26,4,1
1999,174784,236,213,449,10974000,40,24,4,1
2000,179258,239,212,451,11237000,40,24,4,1
2001,184297,242,209,451,11513000,40,23,4,1
2002,188531,240,206,446,11800000,40,23,4,1
2003,192207,237,199,436,12099000,40,23,4,1
2004,196777,235,197,432,12405000,40,23,4,1
2005,200537,236,192,428,12717000,40,21,4,1
2006,205221,240,191,431,13035000,40,21,4,2
2007,210101,241,189,430,13359000,40,21,4,2
2008,215186,231,187,418,13691000,38,20,4,2
2009,220296,235,180,415,14034000,39,18,4,2
2010,226027,235,180,415,14389000,39,19,5,2
2011,231776,235,182,417,14757000,39,19,5,2
2012,239734,236,180,416,15083000,40,19,5,2
2013,247708,243,174,417,15468000,42,18,6,2
2014,255505,255,166,421,15860000,43,17,6,2
2015,261013,262,158,420,16342900,44,16,6,2
2016,267470,272,158,430,15189958,46,16,6,2
2017,272449,284,156,440,15460732,48,15,6,2
2018,277755,291,150,441,16581273,49,14,6,2
2019,281465,300,138,438,16867281,51,12,7,3
2020,,298,137,435,,51,12,7,2
2021,,297,139,436,,51,12,7,2
