Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1983,2255,,,,81636000,0,,1,0
1985,5500,,,,83902000,,,,
1987,8000,6,50,56,90364000,1,8,2,0
1989,12000,6,66,72,95133000,1,9,2,0
1991,18000,13,73,86,99986000,2,9,2,0
1993,22000,17,109,126,104932000,3,15,4,0
1995,28000,19,109,128,110015000,3,16,3,0
1997,33000,54,94,148,115269000,8,11,3,0
1999,42746,73,112,185,120784000,11,13,3,0
2000,49935,79,115,194,123689000,11,12,3,1
2001,55199,90,113,203,126705000,12,11,3,1
2002,60087,107,113,220,129832000,13,10,5,1
2003,64151,109,118,227,133067000,14,11,5,1
2004,68777,112,125,237,136399000,14,11,5,1
2005,74055,109,130,239,139823000,14,13,5,1
2006,79482,116,138,254,143339000,15,14,5,1
2007,83919,120,136,256,146951000,16,14,5,1
2008,88374,124,136,260,150666000,16,15,5,1
2009,93532,129,160,289,154488000,16,17,4,1
2010,98359,139,167,306,158423000,16,21,4,1
2011,103898,139,176,315,162471000,18,21,4,1
2012,109998,154,196,350,166629000,21,20,4,1
2013,118139,171,207,378,173615000,22,22,5,1
2014,129989,216,200,416,178517000,26,20,5,1
2015,142033,247,207,454,181562056,33,19,5,1
2016,152903,299,201,500,186053386,42,16,6,1
2017,163745,350,251,601,190632261,45,16,6,1
2018,177280,394,255,649,203452505,54,15,7,2
2019,192144,428,294,722,208740404,59,19,7,2
2020,,446,292,738,,60,18,7,1
2021,,466,292,758,,62,17,7,1
