Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1914,10000,,,,7681300,,,,
1920,9411,,,,8788000,,,,
1930,11633,,,,10377000,,,,
1940,13666,,,,11507000,,,,
1950,18755,,,,13758800,,,,
1960,31645,,,,18295000,,,,
1970,55455,,,,21434000,,,,
1973,55532,,,,22615000,,,,
1975,66808,,,,23142000,,,,
1977,72253,,,,23695000,,,,
1979,82769,,,,24251000,,,,
1981,85006,,,,24770000,,,,
1983,90321,,,,25267000,,,,
1985,112739,,,,25843000,,,,
1987,118000,217,153,370,26555000,34,11,6,2
1989,125000,227,152,379,27330000,34,8,6,2
1991,130000,240,151,391,28052000,34,9,6,2
1993,138000,256,154,410,28705000,37,8,7,2
1995,143000,261,161,422,29302000,39,8,7,2
1997,151000,270,164,434,29850000,42,7,7,2
1999,156575,288,166,454,30384000,44,6,8,6
2000,158511,299,169,468,30667000,44,6,8,6
2001,160743,305,163,468,30967000,46,5,8,6
2002,163666,305,162,467,31282000,46,5,8,6
2003,166442,311,168,479,31609000,46,5,8,6
2004,169633,311,168,479,31944000,46,5,8,6
2005,172433,311,168,479,32283000,46,5,8,6
2006,175383,320,159,479,32628000,47,5,8,7
2007,178102,324,157,481,32977000,47,5,8,7
2008,177600,324,157,481,33328000,47,5,8,8
2009,179801,323,158,481,33675000,47,5,8,8
2010,182142,325,155,480,34126000,47,5,8,8
2011,185149,327,150,477,34487000,47,3,7,9
2012,187982,329,143,472,34838000,47,3,7,9
2013,190265,333,146,479,35182000,47,3,7,9
2014,192299,333,149,482,35525000,47,3,7,9
2015,193850,338,148,486,35939930,48,3,7,9
2016,195180,344,150,494,35362905,48,3,7,9
2017,196589,347,149,496,35622282,50,3,7,9
2018,197710,345,147,492,35881659,50,3,7,9
2019,199054,348,149,497,36787872,51,4,6,9
2020,,350,149,499,,,,,
2021,,352,147,499,,,,,
