Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1970,1000,,,,5972000,,,,
1975,3226,,,,6908000,,,,
1977,14429,,,,7315000,,,,
1979,23332,,,,7740000,,,,
1981,26144,,,,8179000,,,,
1983,30386,,,,8630000,,,,
1985,43400,,,,9091000,,,,
1987,52000,46,38,84,9558000,8,6,2,0
1989,70000,53,50,103,10027000,9,9,2,0
1991,92000,75,67,142,10493000,12,10,2,0
1993,115000,99,149,248,10953000,17,12,2,0
1995,128000,128,138,266,11385000,21,11,2,1
1997,139000,225,158,383,11774000,31,11,2,1
1999,146420,219,154,373,12148000,32,11,3,1
2000,149938,202,129,331,12345000,32,12,3,1
2001,153056,203,114,317,12552000,32,12,3,1
2002,156988,196,101,297,12767000,31,13,3,1
2003,161396,192,98,290,12988000,30,13,3,1
2004,165568,205,89,294,13209000,31,11,3,1
2005,170736,212,82,294,13426000,32,10,3,1
2006,176359,214,81,295,13640000,32,10,3,1
2007,181463,212,81,293,13850000,33,10,3,1
2008,185663,212,82,294,14057000,33,10,3,1
2009,190498,219,78,297,14262000,34,9,3,1
2010,195941,224,76,300,14465000,34,9,3,1
2011,202935,233,72,305,14666000,34,9,3,1
2012,211165,234,74,308,14865000,34,9,3,1
2013,220247,232,74,306,15061000,35,9,5,1
2014,229294,232,76,308,15661000,36,9,5,1
2015,234606,231,76,307,15868396,36,9,5,1
2016,239448,232,73,305,16080778,37,9,5,2
2017,243730,235,68,303,16290913,39,9,5,2
2018,248651,245,60,305,16498502,42,8,5,2
2019,253781,261,52,313,16701685,42,6,5,2
2020,,263,52,315,,42,6,6,1
2021,,262,53,315,,42,5,6,1
