Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1841,6000,,,,26700000,,,,
1930,5912,,,,46038000,,,,
1940,6481,,,,46030000,,,,
1950,6793,,,,50225000,,,,
1958,6500,,80,80,51650000,,,,
1960,13814,,,,53054000,,,,
1965,61410,,,,54516000,,,,
1967,65907,,,,55124000,,,,
1969,57000,,,,55619000,,,,
1970,72899,,,,55823000,,,,
1971,67849,,,,56000000,,,,
1977,79810,,,,56481000,,,,
1979,89854,,,,56489000,,,,
1983,92338,,,,56575000,,,,
1985,129000,,,,56715000,,,,
1987,133100,247,113,360,56957000,40,0,7,1
1989,152000,231,89,320,57267000,40,0,7,1
1991,156000,226,88,314,57581000,40,0,7,1
1993,161000,230,114,344,57895000,41,0,7,2
1995,165700,245,124,369,58211000,42,0,7,2
1997,170700,264,110,374,58536000,44,0,7,2
1999,174152,267,106,373,58892000,44,0,7,2
2000,175572,274,91,365,59096000,44,0,7,2
2001,172961,264,93,357,59321000,44,0,7,2
2002,176998,270,90,360,59565000,44,0,6,2
2003,176226,274,99,373,59830000,44,0,6,2
2004,177431,276,90,366,60119000,44,0,6,2
2005,179211,280,86,366,60431000,45,0,6,2
2006,180078,280,70,350,60768000,45,0,6,2
2007,181756,282,65,347,61128000,45,0,6,2
2008,183672,278,58,336,61504000,45,0,6,2
2009,186082,280,56,336,61887000,45,0,6,2
2010,186814,281,52,333,62272000,45,0,6,2
2011,188029,282,50,332,62655000,45,0,6,2
2012,188462,285,48,333,63030000,45,0,6,2
2013,186768,285,49,334,63384000,45,0,6,2
2014,186193,288,47,335,63738000,45,0,6,2
2015,186423,284,48,332,64088222,45,0,6,2
2016,185848,285,48,333,64430428,45,0,6,2
2017,186852,282,45,327,64769452,45,0,6,2
2018,187415,280,43,323,65105246,45,0,5,2
2019,188187,279,41,320,65433182,45,0,5,2
2020,,280,40,320,,,,,
2021,,280,41,321,,,,,
