Year,Membership,Wards,Branches,Units,Population,Stakes,Districts,Missions,Temples
1930,682,,,,8523679,,,,
1935,1261,,,,9410499,,,,
1940,1571,,,,10501894,,,,
1950,1372,,,,13683162,,,,
1960,2901,,,,17850000,,,,
1965,4812,,,,19814000,,,,
1967,6292,,,,20844000,,,,
1970,5637,,,,22503000,,,,
1971,5737,,,,23107000,,,,
1975,6091,,,,25699000,,,,
1977,6546,,,,27010000,,,,
1979,8606,,,,28361000,,,,
1981,8394,,,,29829000,,,,
1983,9058,,,,31410000,,,,
1985,13100,,,,32983000,,,,
1987,14000,28,32,60,34464000,5,1,2,1
1989,17000,26,31,57,35966000,5,2,2,1
1991,20000,26,47,73,37691000,5,6,3,1
1993,23000,25,72,97,39609000,5,8,3,1
1995,24000,25,61,86,41402000,6,3,3,1
1997,26000,38,56,94,42873000,6,3,3,1
1999,29220,45,51,96,44137000,9,2,3,1
2000,32091,47,53,100,44760000,9,2,3,1
2001,34252,50,51,101,45390000,9,2,3,1
2002,36297,56,47,103,46015000,10,1,3,1
2003,38299,57,53,110,46631000,10,1,3,1
2004,40482,57,59,116,47227000,10,1,3,1
2005,42569,62,57,119,47793000,11,0,3,1
2006,44571,64,64,128,48331000,11,0,3,1
2007,45981,65,65,130,48842000,11,0,3,1
2008,48112,69,72,141,49319000,11,2,3,1
2009,51710,71,76,147,49752000,11,4,3,1
2010,54996,72,75,147,50133000,11,4,3,1
2011,57546,78,73,151,50460000,12,4,3,2
2012,59807,80,72,152,50738000,12,4,3,2
2013,59385,87,67,154,51016000,13,3,3,2
2014,61221,93,66,159,53140000,14,3,4,2
2015,62600,98,70,168,53675563,15,4,4,2
2016,64123,104,73,177,54300704,15,5,4,2
2017,65752,106,77,183,54841552,16,9,4,2
2018,67344,109,81,190,55380210,17,9,4,2
2019,68772,112,81,193,55921914,17,9,4,2
2020,,115,80,195,,,,,
2021,,115,80,195,,,,,
